"HolzartCode","LeimCode","LeimgradCode","Primer","Rohd.Biege","MOE","MOR","Rohd.Querz","IB","Dens_mitt","Dens_max","Dens_min","Quell2h","Quell24h","WA2h","WA24h"
"Spruce","UF","high","no primer",693.6,3155,20.5,701.5,1.17,705.57,836.37,635.694987,0.036,0.161,0.315,0.675
"Pine","UF","high","no primer",717.6,4175,23.1,733,0.76,741.4733333,900.535,660.2731527,0.154,0.239,0.53,0.694
"Pine","UF","high","no primer",701.6,3888,21.2,708.4,0.7,702.75,862.24,624.3352865,0.16,0.223,0.624,0.753
"Poplar","UF","high","no primer",683.7,3890,25,723.8,0.89,716.1666667,890.1716667,633.2361654,0.044,0.184,0.253,0.642
"Poplar","UF","high","no primer",725.7,4075,27.6,737,0.89,718.62,909.115,632.7553304,0.041,0.179,0.284,0.698
"Beech","UF","high","melamine primer",750.2,3930,26.6,775.7,1.99,805.75,899.2216667,750.5173543,0.02,0.062,0.123,0.325
"Beech","UF","high","melamine primer",768.5,4208,28.3,766,1.64,790.14,888.4716667,731.8974813,0.018,0.055,0.104,0.277
"Oak","UF","high","melamine primer",710.5,2680,19.3,740.9,1.84,712.3966667,773.44,671.5592041,0.026,0.088,0.167,0.524
"Oak","UF","high","melamine primer",739.6,3200,21.7,717.9,1.58,777,762.37,662.3782349,0.023,0.082,0.128,0.528
"Spruce","UF","high","melamine primer",704.9,3198,20.7,713.3,1.2,739.8766667,845.0366667,685.499349,0.027,0.106,0.143,0.513
"Spruce","UF","high","melamine primer",718,3425,21.8,729.1,1.14,739.33,861.6633333,678.2554728,0.03,0.109,0.157,0.473
"Pine","UF","high","melamine primer",705.7,2868,12.5,731.7,0.69,745.4766667,854.4683333,685.8492432,0.028,0.165,0.172,0.668
"Pine","UF","high","melamine primer",740.8,3428,16,743.9,0.65,709.7766667,810.55,657.5106201,0.033,0.176,0.174,0.631
"Poplar","UF","high","melamine primer",713,4038,26.7,729.4,1.24,744.6566667,906.61,667.439799,0.017,0.09,0.107,0.437
"Poplar","UF","high","melamine primer",734,4255,26.7,741.6,1.32,756.4733333,977.7816667,707.4757894,0.016,0.084,0.098,0.408
"Beech","UF","low","no primer",727.5,2995,21.8,726.6,0.43,739.17,829.5033333,680.0072835,0.084,0.35,0.109,0.924
"Beech","UF","low","no primer",732.1,2968,20.7,738.7,0.47,762.7933333,853.4216667,704.5603434,0.083,0.353,0.118,0.938
"Oak","UF","low","no primer",712.6,2880,17.9,711.9,0.62,714.7333333,907.7683333,697.5067139,0.082,0.259,0.113,0.838
"Oak","UF","low","no primer",744.9,3260,22.4,762.6,0.69,771.9166667,912.2883333,687.3334961,0.087,0.29,0.116,0.792
"Spruce","UF","low","no primer",722.4,2958,19.7,714.9,0.53,743.3866667,880.2516667,665.2826742,0.085,0.25,0.12,0.876
"Spruce","UF","low","no primer",653,2130,14.2,681.5,0.4,654.9266667,778.655,584.6054077,0.091,0.289,0.127,1.056
"Pine","UF","low","no primer",715.9,3200,14.3,715.2,0.28,713.1466667,844.2033333,636.1996663,0.095,0.434,0.115,1.088
"Pine","UF","low","no primer",705.6,3343,17.3,701.3,0.23,704.26,844.83,623.8927205,0.085,0.43,0.118,1.07
"Poplar","UF","low","no primer",702.7,2950,14.7,715.7,0.19,708.7766667,851.505,627.4528809,0.091,0.534,0.115,1.127
"Poplar","UF","low","no primer",713.6,3110,14.1,725.5,0.2,728.7133333,872.1816667,643.5431722,0.081,0.549,0.115,1.134
"Beech","UF","low","melamine primer",717.1,3210,20,748.6,0.79,749.6633333,838.6616667,694.5399577,0.023,0.078,0.112,0.396
"Beech","UF","low","melamine primer",739.1,3553,22.6,761,1.01,762.38,860.2066667,700.5029297,0.025,0.083,0.114,0.404
"Oak","UF","low","melamine primer",726,2555,15.9,735.8,0.94,752.2433333,820.2983333,704.1759847,0.039,0.143,0.185,0.656
"Oak","UF","low","melamine primer",740.7,2683,17.7,739.4,1.03,764.4633333,848.17,707.5235799,0.038,0.149,0.176,0.604
"Spruce","UF","low","melamine primer",700.9,3070,18.5,716.1,0.66,764.95,880.5433333,697.9926554,0.205,0.18,0.116,0.73
"Spruce","UF","low","melamine primer",720,3238,19.6,748.9,0.84,760,870,700,0.218,0.202,0.111,0.69
"Pine","UF","low","melamine primer",722.7,3233,12.8,743.8,0.29,737.8766667,850.4866667,669.8118693,0.14,0.264,0.189,0.787
"Pine","UF","low","melamine primer",700,2775,10.2,711.1,0.3,720.4733333,828.8083333,660.2328491,0.194,0.252,0.109,0.847
"Poplar","UF","low","melamine primer",709.3,3795,21.1,731.1,0.47,750.83,919.7866667,659.605245,0.041,0.157,0.226,0.628
"Poplar","UF","low","melamine primer",731.6,4083,22.8,730.7,0.48,728.1833333,893.2983333,635.9163208,0.043,0.161,0.211,0.62
